node_type,relation,filter,join_type,plan_rows,actual_rows,total_cost,actual_time,parent_node,query_name
Limit,,,,80,80.0,1.53,0.02,,q19,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,80.0,2.09,0.013,Limit,q19,2025-10-14 19:23:59.474656
Limit,,,,91,91.0,1.41,0.015,,q20,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,91.0,70.81,0.01,Limit,q20,2025-10-14 19:23:59.474656
Limit,,,,134,134.0,1.7,0.079,,q21,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,600000,134.0,7610.5,0.069,Limit,q21,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,1.0,98.0,0.01,Nested Loop,q21,2025-10-14 19:23:59.474656
Materialize,,,,600,134.0,14.0,0.033,Nested Loop,q21,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,134.0,11.0,0.013,Materialize,q21,2025-10-14 19:23:59.474656
Limit,,,,150,150.0,1.91,0.084,,q22,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,65400,150.0,830.86,0.074,Limit,q22,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,2.0,11.0,0.02,Nested Loop,q22,2025-10-14 19:23:59.474656
Materialize,,,,109,75.0,2.63,0.015,Nested Loop,q22,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,109.0,2.09,0.012,Materialize,q22,2025-10-14 19:23:59.474656
Limit,,,,16,16.0,1.16,0.017,,q23,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.013,Limit,q23,2025-10-14 19:23:59.474656
Limit,,,,21,21.0,0.39,0.015,,q24,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,21.0,11.0,0.013,Limit,q24,2025-10-14 19:23:59.474656
Limit,,,,6,6.0,0.09,0.014,,q25,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,6.0,70.81,0.012,Limit,q25,2025-10-14 19:23:59.474656
Limit,,,,16,16.0,1.16,0.013,,q26,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.01,Limit,q26,2025-10-14 19:23:59.474656
Limit,,,,16,16.0,1.16,0.012,,q27,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.01,Limit,q27,2025-10-14 19:23:59.474656
Limit,,,,5,5.0,0.36,0.009,,q28,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,5.0,1.16,0.007,Limit,q28,2025-10-14 19:23:59.474656
Limit,,,,47,47.0,0.59,0.05,,q29,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,359400,47.0,4519.99,0.045,Limit,q29,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,1.0,11.0,0.012,Nested Loop,q29,2025-10-14 19:23:59.474656
Materialize,,,,599,47.0,17.98,0.02,Nested Loop,q29,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,47.0,14.99,0.011,Materialize,q29,2025-10-14 19:23:59.474656
Limit,,,,12,12.0,0.19,0.012,,q30,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,12.0,16.0,0.011,Limit,q30,2025-10-14 19:23:59.474656
Limit,,,,59,59.0,0.94,0.015,,q31,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,59.0,16.0,0.011,Limit,q31,2025-10-14 19:23:59.474656
Limit,,,,6,6.0,0.11,0.014,,q32,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,6.0,11.0,0.012,Limit,q32,2025-10-14 19:23:59.474656
Limit,,,,14,14.0,0.27,0.014,,q33,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,14.0,310.44,0.013,Limit,q33,2025-10-14 19:23:59.474656
Limit,,,,7,7.0,0.51,0.011,,q34,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,7.0,1.16,0.01,Limit,q34,2025-10-14 19:23:59.474656
Limit,,,,26,26.0,2.55,0.026,,q35,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,26.0,98.0,0.024,Limit,q35,2025-10-14 19:23:59.474656
Limit,,,,23,23.0,0.45,0.011,,q36,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,23.0,310.44,0.009,Limit,q36,2025-10-14 19:23:59.474656
Limit,,,,50,50.0,4.9,0.024,,q37,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,50.0,98.0,0.02,Limit,q37,2025-10-14 19:23:59.474656
Limit,,,,40,40.0,0.5,0.043,,q38,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,2744019,40.0,34387.54,0.04,Limit,q38,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,1.0,70.81,0.006,Nested Loop,q38,2025-10-14 19:23:59.474656
Materialize,,,,599,40.0,17.98,0.026,Nested Loop,q38,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,40.0,14.99,0.007,Materialize,q38,2025-10-14 19:23:59.474656
Limit,,,,190,190.0,3.86,0.095,,q39,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,9162,190.0,186.36,0.082,Limit,q39,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,95.0,70.81,0.016,Nested Loop,q39,2025-10-14 19:23:59.474656
Materialize,,,,2,2.0,1.03,0.0,Nested Loop,q39,2025-10-14 19:23:59.474656
Seq Scan,store,,,2,2.0,1.02,0.007,Materialize,q39,2025-10-14 19:23:59.474656
Limit,,,,78,78.0,7.64,0.154,,q40,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,78.0,98.0,0.146,Limit,q40,2025-10-14 19:23:59.474656
Limit,,,,31,31.0,0.59,0.016,,q41,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,31.0,2.09,0.013,Limit,q41,2025-10-14 19:23:59.474656
Limit,,,,16,16.0,1.16,0.01,,q42,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.008,Limit,q42,2025-10-14 19:23:59.474656
Limit,,,,68,68.0,1.05,0.018,,q43,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,68.0,70.81,0.012,Limit,q43,2025-10-14 19:23:59.474656
Limit,,,,2,2.0,1.02,0.01,,q44,2025-10-14 19:23:59.474656
Seq Scan,store,,,2,2.0,1.02,0.009,Limit,q44,2025-10-14 19:23:59.474656
Limit,,,,173,173.0,2.17,0.062,,q45,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,4581000,173.0,57351.81,0.053,Limit,q45,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,1.0,70.81,0.007,Nested Loop,q45,2025-10-14 19:23:59.474656
Materialize,,,,1000,173.0,21.0,0.028,Nested Loop,q45,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,173.0,16.0,0.012,Materialize,q45,2025-10-14 19:23:59.474656
Limit,,,,200,200.0,2.5,0.28,,q46,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,14596000,200.0,182804.46,0.267,Limit,q46,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,1.0,253.96,0.013,Nested Loop,q46,2025-10-14 19:23:59.474656
Materialize,,,,1000,200.0,103.0,0.151,Nested Loop,q46,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,200.0,98.0,0.067,Materialize,q46,2025-10-14 19:23:59.474656
Limit,,,,156,156.0,1.98,0.125,,q47,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,109000,156.0,1380.86,0.111,Limit,q47,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,2.0,16.0,0.033,Nested Loop,q47,2025-10-14 19:23:59.474656
Materialize,,,,109,78.0,2.63,0.024,Nested Loop,q47,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,109.0,2.09,0.017,Materialize,q47,2025-10-14 19:23:59.474656
Limit,,,,11,11.0,0.28,0.012,,q48,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,11.0,14.99,0.011,Limit,q48,2025-10-14 19:23:59.474656
Limit,,,,31,31.0,0.54,0.015,,q49,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,31.0,253.96,0.012,Limit,q49,2025-10-14 19:23:59.474656
Limit,,,,166,166.0,2.1,0.06,,q50,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,499329,166.0,6314.78,0.05,Limit,q50,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,2.0,70.81,0.009,Nested Loop,q50,2025-10-14 19:23:59.474656
Materialize,,,,109,83.0,2.63,0.012,Nested Loop,q50,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,109.0,2.09,0.009,Materialize,q50,2025-10-14 19:23:59.474656
Limit,,,,23,23.0,0.37,0.015,,q51,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,23.0,16.0,0.012,Limit,q51,2025-10-14 19:23:59.474656
Limit,,,,114,114.0,1.43,0.051,,q52,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,73497564,114.0,919112.25,0.044,Limit,q52,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,1.0,310.44,0.008,Nested Loop,q52,2025-10-14 19:23:59.474656
Materialize,,,,4581,114.0,93.72,0.022,Nested Loop,q52,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,114.0,70.81,0.01,Materialize,q52,2025-10-14 19:23:59.474656
Limit,,,,96,96.0,1.48,0.022,,q53,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,96.0,70.81,0.015,Limit,q53,2025-10-14 19:23:59.474656
Limit,,,,11,11.0,1.08,0.01,,q54,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,11.0,98.0,0.008,Limit,q54,2025-10-14 19:23:59.474656
Limit,,,,16,16.0,1.16,0.01,,q55,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.008,Limit,q55,2025-10-14 19:23:59.474656
Limit,,,,122,122.0,2.56,0.08,,q56,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,2000,122.0,42.03,0.069,Limit,q56,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,61.0,16.0,0.018,Nested Loop,q56,2025-10-14 19:23:59.474656
Materialize,,,,2,2.0,1.03,0.0,Nested Loop,q56,2025-10-14 19:23:59.474656
Seq Scan,store,,,2,2.0,1.02,0.007,Materialize,q56,2025-10-14 19:23:59.474656
Limit,,,,21,21.0,0.41,0.012,,q57,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,21.0,310.44,0.009,Limit,q57,2025-10-14 19:23:59.474656
Limit,,,,44,44.0,0.85,0.016,,q58,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,44.0,310.44,0.011,Limit,q58,2025-10-14 19:23:59.474656
Limit,,,,32,32.0,0.8,0.047,,q59,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,32.0,14.99,0.044,Limit,q59,2025-10-14 19:23:59.474656
Limit,,,,34,34.0,0.66,0.016,,q60,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,34.0,310.44,0.013,Limit,q60,2025-10-14 19:23:59.474656
Limit,,,,16,16.0,1.16,0.012,,q61,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.009,Limit,q61,2025-10-14 19:23:59.474656
Limit,,,,52,52.0,1.3,0.017,,q62,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,52.0,14.99,0.012,Limit,q62,2025-10-14 19:23:59.474656
Limit,,,,11,11.0,0.19,0.012,,q63,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,11.0,253.96,0.01,Limit,q63,2025-10-14 19:23:59.474656
Limit,,,,115,115.0,1.44,0.048,,q64,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,14596000,115.0,182722.46,0.042,Limit,q64,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,1.0,253.96,0.008,Nested Loop,q64,2025-10-14 19:23:59.474656
Materialize,,,,1000,115.0,21.0,0.021,Nested Loop,q64,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,115.0,16.0,0.011,Materialize,q64,2025-10-14 19:23:59.474656
Limit,,,,48,48.0,4.7,0.026,,q65,2025-10-14 19:23:59.474656
Seq Scan,film,(length IS NOT NULL),,1000,48.0,98.0,0.021,Limit,q65,2025-10-14 19:23:59.474656
Limit,,,,180,180.0,2.25,0.078,,q66,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,16044000,180.0,200878.94,0.068,Limit,q66,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,1.0,310.44,0.009,Nested Loop,q66,2025-10-14 19:23:59.474656
Materialize,,,,1000,180.0,21.0,0.036,Nested Loop,q66,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,180.0,16.0,0.011,Materialize,q66,2025-10-14 19:23:59.474656
Limit,,,,12,12.0,0.23,0.012,,q67,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,12.0,2.09,0.01,Limit,q67,2025-10-14 19:23:59.474656
Limit,,,,16,16.0,1.16,0.013,,q68,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.011,Limit,q68,2025-10-14 19:23:59.474656
Limit,,,,48,48.0,0.84,0.017,,q69,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,48.0,253.96,0.014,Limit,q69,2025-10-14 19:23:59.474656
Limit,,,,38,38.0,0.73,0.016,,q70,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,38.0,2.09,0.012,Limit,q70,2025-10-14 19:23:59.474656
Limit,,,,25,25.0,0.48,0.013,,q71,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,25.0,310.44,0.01,Limit,q71,2025-10-14 19:23:59.474656
Limit,,,,10,10.0,0.17,0.016,,q72,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,10.0,253.96,0.014,Limit,q72,2025-10-14 19:23:59.474656
Limit,,,,24,24.0,0.37,0.015,,q73,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,24.0,70.81,0.012,Limit,q73,2025-10-14 19:23:59.474656
Limit,,,,17,17.0,0.27,0.015,,q74,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,17.0,16.0,0.013,Limit,q74,2025-10-14 19:23:59.474656
Limit,,,,24,24.0,0.44,0.017,,q75,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,24.0,11.0,0.014,Limit,q75,2025-10-14 19:23:59.474656
Limit,,,,30,30.0,0.59,0.018,,q76,2025-10-14 19:23:59.474656
Seq Scan,rental,(return_date IS NOT NULL),,15861,30.0,310.44,0.015,Limit,q76,2025-10-14 19:23:59.474656
Limit,,,,42,42.0,0.81,0.017,,q77,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,42.0,2.09,0.013,Limit,q77,2025-10-14 19:23:59.474656
Limit,,,,85,85.0,1.06,0.117,,q78,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,16044000,85.0,200960.94,0.109,Limit,q78,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,1.0,310.44,0.02,Nested Loop,q78,2025-10-14 19:23:59.474656
Materialize,,,,1000,85.0,103.0,0.065,Nested Loop,q78,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,85.0,98.0,0.028,Materialize,q78,2025-10-14 19:23:59.474656
Limit,,,,76,76.0,1.39,0.022,,q79,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,76.0,11.0,0.015,Limit,q79,2025-10-14 19:23:59.474656
Limit,,,,59,59.0,0.74,0.052,,q80,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,66864276,59.0,836139.67,0.047,Limit,q80,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,1.0,253.96,0.012,Nested Loop,q80,2025-10-14 19:23:59.474656
Materialize,,,,4581,59.0,93.72,0.022,Nested Loop,q80,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,59.0,70.81,0.01,Materialize,q80,2025-10-14 19:23:59.474656
Limit,,,,81,81.0,2.03,0.031,,q81,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,81.0,14.99,0.025,Limit,q81,2025-10-14 19:23:59.474656
Limit,,,,86,86.0,1.58,0.021,,q82,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,86.0,11.0,0.014,Limit,q82,2025-10-14 19:23:59.474656
Limit,,,,131,131.0,3.51,0.052,,q83,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,218,131.0,5.84,0.044,Limit,q83,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,66.0,2.09,0.01,Nested Loop,q83,2025-10-14 19:23:59.474656
